code_string,szn,competition,sznurl,stage
cl,1990-1991,European Cup,https://fbref.com/en/comps/8/1934/1990-1991-European-Cup-Stats,knockout
el,1990-1991,UEFA Cup,https://fbref.com/en/comps/19/1962/1990-1991-UEFA-Cup-Stats,knockout
cl,1991-1992,European Cup,https://fbref.com/en/comps/8/1935/1991-1992-European-Cup-Stats,knockout
el,1991-1992,UEFA Cup,https://fbref.com/en/comps/19/1963/1991-1992-UEFA-Cup-Stats,knockout
cl,1992-1993,UEFA Champions League,https://fbref.com/en/comps/8/1936/1992-1993-Champions-League-Stats,knockout
el,1992-1993,UEFA Cup,https://fbref.com/en/comps/19/1964/1992-1993-UEFA-Cup-Stats,knockout
cl,1993-1994,UEFA Champions League,https://fbref.com/en/comps/8/1937/1993-1994-Champions-League-Stats,knockout
el,1993-1994,UEFA Cup,https://fbref.com/en/comps/19/1965/1993-1994-UEFA-Cup-Stats,knockout
cl,1994-1995,UEFA Champions League,https://fbref.com/en/comps/8/1938/1994-1995-Champions-League-Stats,knockout
el,1994-1995,UEFA Cup,https://fbref.com/en/comps/19/1966/1994-1995-UEFA-Cup-Stats,knockout
cl,1995-1996,UEFA Champions League,https://fbref.com/en/comps/8/1939/1995-1996-Champions-League-Stats,knockout
el,1995-1996,UEFA Cup,https://fbref.com/en/comps/19/1967/1995-1996-UEFA-Cup-Stats,knockout
cl,1996-1997,UEFA Champions League,https://fbref.com/en/comps/8/1940/1996-1997-Champions-League-Stats,knockout
el,1996-1997,UEFA Cup,https://fbref.com/en/comps/19/1968/1996-1997-UEFA-Cup-Stats,knockout
cl,1997-1998,UEFA Champions League,https://fbref.com/en/comps/8/1941/1997-1998-Champions-League-Stats,knockout
el,1997-1998,UEFA Cup,https://fbref.com/en/comps/19/1969/1997-1998-UEFA-Cup-Stats,knockout
cl,1998-1999,UEFA Champions League,https://fbref.com/en/comps/8/1942/1998-1999-Champions-League-Stats,knockout
el,1998-1999,UEFA Cup,https://fbref.com/en/comps/19/1970/1998-1999-UEFA-Cup-Stats,knockout
cl,1999-2000,UEFA Champions League,https://fbref.com/en/comps/8/43/1999-2000-Champions-League-Stats,knockout
cl,1999-2000,UEFA Champions League,https://fbref.com/en/comps/8/43/qual/1999-2000-Champions-League-Qualifying-Rounds,qualifying
el,1999-2000,UEFA Cup,https://fbref.com/en/comps/19/779/1999-2000-UEFA-Cup-Stats,knockout
el,1999-2000,UEFA Cup,https://fbref.com/en/comps/19/779/qual/1999-2000-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2000-2001,UEFA Champions League,https://fbref.com/en/comps/8/54/2000-2001-Champions-League-Stats,knockout
cl,2000-2001,UEFA Champions League,https://fbref.com/en/comps/8/54/qual/2000-2001-Champions-League-Qualifying-Rounds,qualifying
el,2000-2001,UEFA Cup,https://fbref.com/en/comps/19/778/2000-2001-UEFA-Cup-Stats,knockout
el,2000-2001,UEFA Cup,https://fbref.com/en/comps/19/778/qual/2000-2001-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2001-2002,UEFA Champions League,https://fbref.com/en/comps/8/73/2001-2002-Champions-League-Stats,knockout
cl,2001-2002,UEFA Champions League,https://fbref.com/en/comps/8/73/qual/2001-2002-Champions-League-Qualifying-Rounds,qualifying
el,2001-2002,UEFA Cup,https://fbref.com/en/comps/19/777/2001-2002-UEFA-Cup-Stats,knockout
el,2001-2002,UEFA Cup,https://fbref.com/en/comps/19/777/qual/2001-2002-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2002-2003,UEFA Champions League,https://fbref.com/en/comps/8/96/2002-2003-Champions-League-Stats,knockout
cl,2002-2003,UEFA Champions League,https://fbref.com/en/comps/8/96/qual/2002-2003-Champions-League-Qualifying-Rounds,qualifying
el,2002-2003,UEFA Cup,https://fbref.com/en/comps/19/776/2002-2003-UEFA-Cup-Stats,knockout
el,2002-2003,UEFA Cup,https://fbref.com/en/comps/19/776/qual/2002-2003-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2003-2004,UEFA Champions League,https://fbref.com/en/comps/8/128/2003-2004-Champions-League-Stats,knockout
cl,2003-2004,UEFA Champions League,https://fbref.com/en/comps/8/128/qual/2003-2004-Champions-League-Qualifying-Rounds,qualifying
el,2003-2004,UEFA Cup,https://fbref.com/en/comps/19/775/2003-2004-UEFA-Cup-Stats,knockout
el,2003-2004,UEFA Cup,https://fbref.com/en/comps/19/775/qual/2003-2004-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2004-2005,UEFA Champions League,https://fbref.com/en/comps/8/162/2004-2005-Champions-League-Stats,knockout
cl,2004-2005,UEFA Champions League,https://fbref.com/en/comps/8/162/qual/2004-2005-Champions-League-Qualifying-Rounds,qualifying
el,2004-2005,UEFA Cup,https://fbref.com/en/comps/19/774/2004-2005-UEFA-Cup-Stats,knockout
el,2004-2005,UEFA Cup,https://fbref.com/en/comps/19/774/qual/2004-2005-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2005-2006,UEFA Champions League,https://fbref.com/en/comps/8/200/2005-2006-Champions-League-Stats,knockout
cl,2005-2006,UEFA Champions League,https://fbref.com/en/comps/8/200/qual/2005-2006-Champions-League-Qualifying-Rounds,qualifying
el,2005-2006,UEFA Cup,https://fbref.com/en/comps/19/773/2005-2006-UEFA-Cup-Stats,knockout
el,2005-2006,UEFA Cup,https://fbref.com/en/comps/19/773/qual/2005-2006-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2006-2007,UEFA Champions League,https://fbref.com/en/comps/8/249/2006-2007-Champions-League-Stats,knockout
cl,2006-2007,UEFA Champions League,https://fbref.com/en/comps/8/249/qual/2006-2007-Champions-League-Qualifying-Rounds,qualifying
el,2006-2007,UEFA Cup,https://fbref.com/en/comps/19/772/2006-2007-UEFA-Cup-Stats,knockout
el,2006-2007,UEFA Cup,https://fbref.com/en/comps/19/772/qual/2006-2007-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2007-2008,UEFA Champions League,https://fbref.com/en/comps/8/303/2007-2008-Champions-League-Stats,knockout
cl,2007-2008,UEFA Champions League,https://fbref.com/en/comps/8/303/qual/2007-2008-Champions-League-Qualifying-Rounds,qualifying
el,2007-2008,UEFA Cup,https://fbref.com/en/comps/19/771/2007-2008-UEFA-Cup-Stats,knockout
el,2007-2008,UEFA Cup,https://fbref.com/en/comps/19/771/qual/2007-2008-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2008-2009,UEFA Champions League,https://fbref.com/en/comps/8/359/2008-2009-Champions-League-Stats,knockout
cl,2008-2009,UEFA Champions League,https://fbref.com/en/comps/8/359/qual/2008-2009-Champions-League-Qualifying-Rounds,qualifying
el,2008-2009,UEFA Cup,https://fbref.com/en/comps/19/770/2008-2009-UEFA-Cup-Stats,knockout
el,2008-2009,UEFA Cup,https://fbref.com/en/comps/19/770/qual/2008-2009-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2009-2010,UEFA Champions League,https://fbref.com/en/comps/8/426/2009-2010-Champions-League-Stats,knockout
cl,2009-2010,UEFA Champions League,https://fbref.com/en/comps/8/426/qual/2009-2010-Champions-League-Qualifying-Rounds,qualifying
el,2009-2010,UEFA Europa League,https://fbref.com/en/comps/19/427/2009-2010-Europa-League-Stats,knockout
el,2009-2010,UEFA Europa League,https://fbref.com/en/comps/19/427/qual/2009-2010-Europa-League-Qualifying-Rounds,qualifying
cl,2010-2011,UEFA Champions League,https://fbref.com/en/comps/8/492/2010-2011-Champions-League-Stats,knockout
cl,2010-2011,UEFA Champions League,https://fbref.com/en/comps/8/492/qual/2010-2011-Champions-League-Qualifying-Rounds,qualifying
el,2010-2011,UEFA Europa League,https://fbref.com/en/comps/19/493/2010-2011-Europa-League-Stats,knockout
el,2010-2011,UEFA Europa League,https://fbref.com/en/comps/19/493/qual/2010-2011-Europa-League-Qualifying-Rounds,qualifying
cl,2011-2012,UEFA Champions League,https://fbref.com/en/comps/8/562/2011-2012-Champions-League-Stats,knockout
cl,2011-2012,UEFA Champions League,https://fbref.com/en/comps/8/562/qual/2011-2012-Champions-League-Qualifying-Rounds,qualifying
el,2011-2012,UEFA Europa League,https://fbref.com/en/comps/19/563/2011-2012-Europa-League-Stats,knockout
el,2011-2012,UEFA Europa League,https://fbref.com/en/comps/19/563/qual/2011-2012-Europa-League-Qualifying-Rounds,qualifying
cl,2012-2013,UEFA Champions League,https://fbref.com/en/comps/8/628/2012-2013-Champions-League-Stats,knockout
cl,2012-2013,UEFA Champions League,https://fbref.com/en/comps/8/628/qual/2012-2013-Champions-League-Qualifying-Rounds,qualifying
el,2012-2013,UEFA Europa League,https://fbref.com/en/comps/19/629/2012-2013-Europa-League-Stats,knockout
el,2012-2013,UEFA Europa League,https://fbref.com/en/comps/19/629/qual/2012-2013-Europa-League-Qualifying-Rounds,qualifying
cl,2013-2014,UEFA Champions League,https://fbref.com/en/comps/8/694/2013-2014-Champions-League-Stats,knockout
cl,2013-2014,UEFA Champions League,https://fbref.com/en/comps/8/694/qual/2013-2014-Champions-League-Qualifying-Rounds,qualifying
el,2013-2014,UEFA Europa League,https://fbref.com/en/comps/19/695/2013-2014-Europa-League-Stats,knockout
el,2013-2014,UEFA Europa League,https://fbref.com/en/comps/19/695/qual/2013-2014-Europa-League-Qualifying-Rounds,qualifying
cl,2014-2015,UEFA Champions League,https://fbref.com/en/comps/8/768/2014-2015-Champions-League-Stats,knockout
cl,2014-2015,UEFA Champions League,https://fbref.com/en/comps/8/768/qual/2014-2015-Champions-League-Qualifying-Rounds,qualifying
el,2014-2015,UEFA Europa League,https://fbref.com/en/comps/19/769/2014-2015-Europa-League-Stats,knockout
el,2014-2015,UEFA Europa League,https://fbref.com/en/comps/19/769/qual/2014-2015-Europa-League-Qualifying-Rounds,qualifying
cl,2015-2016,UEFA Champions League,https://fbref.com/en/comps/8/1555/2015-2016-Champions-League-Stats,knockout
cl,2015-2016,UEFA Champions League,https://fbref.com/en/comps/8/1555/qual/2015-2016-Champions-League-Qualifying-Rounds,qualifying
el,2015-2016,UEFA Europa League,https://fbref.com/en/comps/19/801/2015-2016-Europa-League-Stats,knockout
el,2015-2016,UEFA Europa League,https://fbref.com/en/comps/19/801/qual/2015-2016-Europa-League-Qualifying-Rounds,qualifying
cl,2016-2017,UEFA Champions League,https://fbref.com/en/comps/8/1551/2016-2017-Champions-League-Stats,knockout
cl,2016-2017,UEFA Champions League,https://fbref.com/en/comps/8/1551/qual/2016-2017-Champions-League-Qualifying-Rounds,qualifying
el,2016-2017,UEFA Europa League,https://fbref.com/en/comps/19/1552/2016-2017-Europa-League-Stats,knockout
el,2016-2017,UEFA Europa League,https://fbref.com/en/comps/19/1552/qual/2016-2017-Europa-League-Qualifying-Rounds,qualifying
cl,2017-2018,UEFA Champions League,https://fbref.com/en/comps/8/1656/2017-2018-Champions-League-Stats,knockout
cl,2017-2018,UEFA Champions League,https://fbref.com/en/comps/8/1656/qual/2017-2018-Champions-League-Qualifying-Rounds,qualifying
el,2017-2018,UEFA Europa League,https://fbref.com/en/comps/19/1657/2017-2018-Europa-League-Stats,knockout
el,2017-2018,UEFA Europa League,https://fbref.com/en/comps/19/1657/qual/2017-2018-Europa-League-Qualifying-Rounds,qualifying
cl,2018-2019,UEFA Champions League,https://fbref.com/en/comps/8/2102/2018-2019-Champions-League-Stats,knockout
cl,2018-2019,UEFA Champions League,https://fbref.com/en/comps/8/2102/qual/2018-2019-Champions-League-Qualifying-Rounds,qualifying
el,2018-2019,UEFA Europa League,https://fbref.com/en/comps/19/2103/2018-2019-Europa-League-Stats,knockout
el,2018-2019,UEFA Europa League,https://fbref.com/en/comps/19/2103/qual/2018-2019-Europa-League-Qualifying-Rounds,qualifying
cl,2019-2020,UEFA Champions League,https://fbref.com/en/comps/8/2900/2019-2020-Champions-League-Stats,knockout
cl,2019-2020,UEFA Champions League,https://fbref.com/en/comps/8/2900/qual/2019-2020-Champions-League-Qualifying-Rounds,qualifying
el,2019-2020,UEFA Europa League,https://fbref.com/en/comps/19/2901/2019-2020-Europa-League-Stats,knockout
el,2019-2020,UEFA Europa League,https://fbref.com/en/comps/19/2901/qual/2019-2020-Europa-League-Qualifying-Rounds,qualifying
cl,2020-2021,UEFA Champions League,https://fbref.com/en/comps/8/Champions-League-Stats,knockout
cl,2020-2021,UEFA Champions League,https://fbref.com/en/comps/8/qual/Champions-League-Qualifying-Rounds,qualifying
el,2020-2021,UEFA Europa League,https://fbref.com/en/comps/19/Europa-League-Stats,knockout
el,2020-2021,UEFA Europa League,https://fbref.com/en/comps/19/qual/Europa-League-Qualifying-Rounds,qualifying
