tie,oddshome,oddsdraw,oddsaway,season,hometeam,awayteam,pcthomeunadj,pctdrawunadj,pctawayunadj,pcthome,pctdraw,pctaway
AS Roma - Liverpool,165,305,149,2018,AS Roma,Liverpool,0.37735849056603776,0.24691358024691357,0.40160642570281124,0.3678393609454506,0.24068501395196146,0.39147562510258793
Real Madrid - Bayern Munich,139,309,174,2018,Real Madrid,Bayern Munich,0.41841004184100417,0.24449877750611246,0.36496350364963503,0.4070642165178004,0.23786882089915473,0.3550669625830449
Bayern Munich - Real Madrid,100,308,256,2018,Bayern Munich,Real Madrid,0.5,0.24509803921568626,0.2808988764044944,0.4873308997208503,0.2388876959415933,0.2737814043375564
Liverpool - AS Roma,-192,362,568,2018,Liverpool,AS Roma,0.6575342465753424,0.21645021645021645,0.1497005988023952,0.6423208378182343,0.21144219498886682,0.1462369671928989
Bayern Munich - Sevilla,-370,581,952,2018,Bayern Munich,Sevilla,0.7872340425531915,0.14684287812041116,0.09505703422053231,0.7649480797027757,0.14268587429467974,0.09236604600254458
Real Madrid - Juventus,-154,341,413,2018,Real Madrid,Juventus,0.6062992125984252,0.22675736961451248,0.1949317738791423,0.5897919066936563,0.22058359734397726,0.1896244959623664
AS Roma - Barcelona,372,342,-143,2018,AS Roma,Barcelona,0.211864406779661,0.22624434389140272,0.588477366255144,0.20637762705580215,0.22038515830393351,0.5732372146402642
Manchester City - Liverpool,-204,430,495,2018,Manchester City,Liverpool,0.6710526315789473,0.18867924528301888,0.16806722689075632,0.6529025265042413,0.1835759970933124,0.16352147640244635
Barcelona - AS Roma,-455,603,1327,2018,Barcelona,AS Roma,0.8198198198198198,0.1422475106685633,0.0700770847932726,0.7942878997180874,0.13781744934379772,0.06789465093811478
Liverpool - Manchester City,210,262,135,2018,Liverpool,Manchester City,0.3225806451612903,0.27624309392265195,0.425531914893617,0.31491078699933367,0.2696749833419708,0.41541422965869546
Juventus - Real Madrid,200,224,159,2018,Juventus,Real Madrid,0.3333333333333333,0.30864197530864196,0.3861003861003861,0.32423034124629085,0.30021327893175076,0.3755563798219585
Sevilla - Bayern Munich,493,345,-172,2018,Sevilla,Bayern Munich,0.16863406408094436,0.2247191011235955,0.6323529411764706,0.16440778019342636,0.21908722169595915,0.6165049981106144
Barcelona - Chelsea,-208,363,619,2018,Barcelona,Chelsea,0.6753246753246753,0.2159827213822894,0.13908205841446453,0.6554072074088625,0.20961270547633498,0.13498008711480264
Besiktas - Bayern Munich,784,497,-294,2018,Besiktas,Bayern Munich,0.11312217194570136,0.16750418760469013,0.7461928934010152,0.11016756027952543,0.1631291847355117,0.726703254984963
AS Roma - Shakhtar Donetsk,-152,334,413,2018,AS Roma,Shakhtar Donetsk,0.6031746031746031,0.2304147465437788,0.1949317738791423,0.5864484348798211,0.22402529346003355,0.18952627166014532
Manchester Utd - Sevilla,-156,308,474,2018,Manchester Utd,Sevilla,0.609375,0.24509803921568626,0.17421602787456447,0.5923801656837647,0.23826251007894003,0.16935732423729538
Manchester City - Basel,-357,479,1201,2018,Manchester City,Basel,0.7811816192560175,0.17271157167530224,0.07686395080707148,0.7578716533930971,0.1675579675189259,0.074570379087977
Tottenham - Juventus,125,249,237,2018,Tottenham,Juventus,0.4444444444444444,0.28653295128939826,0.29673590504451036,0.43245956251401846,0.2788063082110434,0.28873412927493813
Liverpool - FC Porto,-227,371,708,2018,Liverpool,FC Porto,0.6941896024464832,0.21231422505307856,0.12376237623762376,0.6737963449915966,0.20607705492321343,0.12012660008519
Paris SG - Real Madrid,-127,358,298,2018,Paris SG,Real Madrid,0.5594713656387665,0.2183406113537118,0.25125628140703515,0.543667887015483,0.21217310860728714,0.2441590043772299
Sevilla - Manchester Utd,169,225,185,2018,Sevilla,Manchester Utd,0.37174721189591076,0.3076923076923077,0.3508771929824561,0.360808678885145,0.2986385680618585,0.34055275305299654
Shakhtar Donetsk - AS Roma,160,234,188,2018,Shakhtar Donetsk,AS Roma,0.38461538461538464,0.2994011976047904,0.3472222222222222,0.3729644219733863,0.2903315859673067,0.33670399205930707
Bayern Munich - Besiktas,-769,860,2349,2018,Bayern Munich,Besiktas,0.8849252013808976,0.10416666666666667,0.04083299305839118,0.8592133608957122,0.10114006429052529,0.039646574813762464
Chelsea - Barcelona,252,234,125,2018,Chelsea,Barcelona,0.2840909090909091,0.2994011976047904,0.4444444444444444,0.27637008215712094,0.2912642782015166,0.43236563964136243
FC Porto - Liverpool,258,248,114,2018,FC Porto,Liverpool,0.27932960893854747,0.28735632183908044,0.4672897196261682,0.27015105126456457,0.2779140125077992,0.4519349362276361
Real Madrid - Paris SG,125,274,215,2018,Real Madrid,Paris SG,0.4444444444444444,0.26737967914438504,0.31746031746031744,0.43179943922150754,0.25977238990598717,0.30842817087250535
Basel - Manchester City,1023,433,-303,2018,Basel,Manchester City,0.08904719501335707,0.18761726078799248,0.7518610421836228,0.08657752791526625,0.18241381585148966,0.731008656233244
Juventus - Tottenham,131,202,276,2018,Juventus,Tottenham,0.4329004329004329,0.33112582781456956,0.26595744680851063,0.42029833068068245,0.3214864714809194,0.258215197838398
Atl. Madrid - Real Madrid,163,258,167,2017,Atl. Madrid,Real Madrid,0.38022813688212925,0.27932960893854747,0.37453183520599254,0.36769361558079866,0.2701212874238828,0.36218509699531853
Juventus - Monaco,-154,295,476,2017,Juventus,Monaco,0.6062992125984252,0.25316455696202533,0.1736111111111111,0.5868879632464723,0.2450592514624428,0.1680527852910849
Monaco - Juventus,218,227,143,2017,Monaco,Juventus,0.31446540880503143,0.3058103975535168,0.411522633744856,0.30477406883219993,0.2963857917083779,0.3988401394594222
Real Madrid - Atl. Madrid,-123,254,412,2017,Real Madrid,Atl. Madrid,0.5515695067264574,0.2824858757062147,0.1953125,0.5358332197260234,0.2744265490765312,0.18974023119744537
Barcelona - Juventus,-204,413,509,2017,Barcelona,Juventus,0.6710526315789473,0.1949317738791423,0.16420361247947454,0.6513885037436121,0.18921960893060627,0.15939188732578163
Monaco - Dortmund,193,315,123,2017,Monaco,Dortmund,0.3412969283276451,0.24096385542168675,0.4484304932735426,0.33113400291256234,0.23378858518886927,0.4350774118985684
Leicester - Atl. Madrid,341,282,-119,2017,Leicester,Atl. Madrid,0.22675736961451248,0.2617801047120419,0.54337899543379,0.21974391945423197,0.25368342533852434,0.5265726552072438
Real Madrid - Bayern Munich,161,288,154,2017,Real Madrid,Bayern Munich,0.3831417624521073,0.25773195876288657,0.3937007874015748,0.3703375245195668,0.2491187987103271,0.38054367677010603
Atl. Madrid - Leicester,-303,428,1011,2017,Atl. Madrid,Leicester,0.7518610421836228,0.1893939393939394,0.09000900090009001,0.7290674889830314,0.1836522390115022,0.0872802720054664
Bayern Munich - Real Madrid,-145,334,371,2017,Bayern Munich,Real Madrid,0.5918367346938775,0.2304147465437788,0.21231422505307856,0.5720629739562997,0.2227163969796495,0.20522062906405072
Dortmund - Monaco,-185,391,454,2017,Dortmund,Monaco,0.6491228070175439,0.20366598778004075,0.18050541516245489,0.6282071463873269,0.19710357980997212,0.17468927380270094
Juventus - Barcelona,170,235,175,2017,Juventus,Barcelona,0.37037037037037035,0.29850746268656714,0.36363636363636365,0.35870729095687726,0.289107368830916,0.35218534021220677
Atl. Madrid - Bayer Leverkusen,-189,346,553,2017,Atl. Madrid,Bayer Leverkusen,0.6539792387543253,0.2242152466367713,0.15313935681470137,0.6341101319390493,0.21740317001255755,0.14848669804839304
Monaco - Manchester City,189,286,134,2017,Monaco,Manchester City,0.3460207612456747,0.25906735751295334,0.42735042735042733,0.3351490144858703,0.2509276300166231,0.4139233554975065
Juventus - FC Porto,-133,262,443,2017,Juventus,FC Porto,0.5708154506437768,0.27624309392265195,0.1841620626151013,0.5535337896358522,0.2678797262184887,0.17858648414565914
Leicester - Sevilla,200,260,136,2017,Leicester,Sevilla,0.3333333333333333,0.2777777777777778,0.423728813559322,0.32211101000909914,0.2684258416742493,0.4094631483166515
Barcelona - Paris SG,-189,398,458,2017,Barcelona,Paris SG,0.6539792387543253,0.20080321285140562,0.17921146953405018,0.6324788041630244,0.19420154098203826,0.17331965485493736
Dortmund - Benfica,-357,542,967,2017,Dortmund,Benfica,0.7811816192560175,0.1557632398753894,0.09372071227741331,0.7579389871228722,0.1511287891983004,0.09093222367882742
Arsenal - Bayern Munich,301,316,-119,2017,Arsenal,Bayern Munich,0.24937655860349128,0.2403846153846154,0.54337899543379,0.24137727482131713,0.23267376731574077,0.525948957862942
Napoli - Real Madrid,200,295,124,2017,Napoli,Real Madrid,0.3333333333333333,0.25316455696202533,0.44642857142857145,0.32270771026333067,0.24509446349113725,0.4321978262455322
FC Porto - Juventus,204,198,172,2017,FC Porto,Juventus,0.32894736842105265,0.33557046979865773,0.36764705882352944,0.31869652742828386,0.32511323603422243,0.3561902365374937
Sevilla - Leicester,-270,418,822,2017,Sevilla,Leicester,0.7297297297297297,0.19305019305019305,0.10845986984815618,0.7076237117169797,0.18720204013676714,0.10517424814625312
Bayer Leverkusen - Atl. Madrid,202,209,164,2017,Bayer Leverkusen,Atl. Madrid,0.33112582781456956,0.32362459546925565,0.3787878787878788,0.3203807997737823,0.31312298230317875,0.36649621792303877
Manchester City - Monaco,-164,333,467,2017,Manchester City,Monaco,0.6212121212121212,0.23094688221709006,0.1763668430335097,0.6039829950298066,0.22454164181809966,0.17147536315209375
Bayern Munich - Arsenal,-250,409,725,2017,Bayern Munich,Arsenal,0.7142857142857143,0.19646365422396855,0.12121212121212122,0.6921631489158296,0.19037886217724193,0.11745798890692866
Real Madrid - Napoli,-182,349,519,2017,Real Madrid,Napoli,0.6453900709219859,0.22271714922049,0.16155088852988692,0.6268003577946366,0.216302039817528,0.15689760238783532
Benfica - Dortmund,222,236,137,2017,Benfica,Dortmund,0.3105590062111801,0.2976190476190476,0.4219409282700422,0.30147877245985055,0.2889171569406901,0.4096040705994594
Paris SG - Barcelona,219,244,135,2017,Paris SG,Barcelona,0.31347962382445144,0.29069767441860467,0.425531914893617,0.3044350966517412,0.28231045299972507,0.4132544503485337
Real Madrid - Manchester City,-208,365,595,2016,Real Madrid,Manchester City,0.6753246753246753,0.21505376344086022,0.14388489208633093,0.6529523528291843,0.20792940929630765,0.139118237874508
Bayern Munich - Atl. Madrid,-175,308,565,2016,Bayern Munich,Atl. Madrid,0.6363636363636364,0.24509803921568626,0.15037593984962405,0.6167284724341946,0.23753547607759598,0.14573605148820926
Atl. Madrid - Bayern Munich,219,196,163,2016,Atl. Madrid,Bayern Munich,0.31347962382445144,0.33783783783783783,0.38022813688212925,0.30389313304888577,0.3275064508195762,0.36860041613153816
Manchester City - Real Madrid,158,229,193,2016,Manchester City,Real Madrid,0.3875968992248062,0.303951367781155,0.3412969283276451,0.37527104833906255,0.2942855029528211,0.33044344870811654
Atl. Madrid - Barcelona,214,243,136,2016,Atl. Madrid,Barcelona,0.3184713375796178,0.2915451895043732,0.423728813559322,0.30807523386894203,0.2820280566613639,0.4098967094696941
Benfica - Bayern Munich,585,323,-189,2016,Benfica,Bayern Munich,0.145985401459854,0.2364066193853428,0.6539792387543253,0.14086207052506083,0.2281099723632782,0.631027957111661
Manchester City - Paris SG,186,254,148,2016,Manchester City,Paris SG,0.34965034965034963,0.2824858757062147,0.4032258064516129,0.3377082980720408,0.2728377775384284,0.3894539243895309
Real Madrid - Wolfsburg,-526,734,1293,2016,Real Madrid,Wolfsburg,0.8402555910543131,0.11990407673860912,0.07178750897343862,0.8142428313891809,0.11619206819706832,0.06956510041375089
Paris SG - Manchester City,-145,298,420,2016,Paris SG,Manchester City,0.5918367346938775,0.25125628140703515,0.19230769230769232,0.5716016319937829,0.24266574222574389,0.18573262578047323
Wolfsburg - Real Madrid,448,337,-164,2016,Wolfsburg,Real Madrid,0.18248175182481752,0.2288329519450801,0.6212121212121212,0.1767331825282073,0.22162421973788926,0.6016425977339033
Barcelona - Atl. Madrid,-192,319,625,2016,Barcelona,Atl. Madrid,0.6575342465753424,0.2386634844868735,0.13793103448275862,0.6358340165006716,0.23078700877361288,0.1333789747257156
Bayern Munich - Benfica,-435,568,1333,2016,Bayern Munich,Benfica,0.8130841121495327,0.1497005988023952,0.06978367062107467,0.7874385141552466,0.14497887159235215,0.06758261425240143
Barcelona - Arsenal,-417,609,1055,2016,Barcelona,Arsenal,0.8065764023210832,0.14104372355430184,0.08658008658008658,0.7799035357051921,0.1363795151612141,0.08371694913359376
Bayern Munich - Juventus,-217,351,677,2016,Bayern Munich,Juventus,0.6845425867507886,0.22172949002217296,0.1287001287001287,0.6614115655771463,0.21423714458188706,0.1243512898409666
Atl. Madrid - PSV,-323,433,1062,2016,Atl. Madrid,PSV,0.7635933806146572,0.18761726078799248,0.08605851979345955,0.7361574113840738,0.18087615809540203,0.08296643052052434
Manchester City - Dyn. Kyiv,-227,363,694,2016,Manchester City,Dyn. Kyiv,0.6941896024464832,0.2159827213822894,0.12594458438287154,0.6699915781170549,0.20845400714006238,0.12155441474288271
Chelsea - Paris SG,-,-,-,2016,Chelsea,Paris SG,,,,,,
Zenit Petersburg - Benfica,110,252,260,2016,Zenit Petersburg,Benfica,0.47619047619047616,0.2840909090909091,0.2777777777777778,0.45873153779322323,0.2736750651607298,0.2675933970460469
Real Madrid - AS Roma,-278,480,695,2016,Real Madrid,AS Roma,0.7354497354497355,0.1724137931034483,0.12578616352201258,0.7115077197703386,0.1668009911146043,0.12169128911505722
Wolfsburg - Gent,-189,348,527,2016,Wolfsburg,Gent,0.6539792387543253,0.22321428571428573,0.1594896331738437,0.6308381050981428,0.21531582149159492,0.1538460734102624
Dyn. Kyiv - Manchester City,236,215,139,2016,Dyn. Kyiv,Manchester City,0.2976190476190476,0.31746031746031744,0.41841004184100417,0.2879749377460037,0.3071732669290706,0.40485179532492566
PSV - Atl. Madrid,384,227,-110,2016,PSV,Atl. Madrid,0.2066115702479339,0.3058103975535168,0.5238095238095238,0.19938746498306645,0.2951178380789118,0.5054946969380218
Arsenal - Barcelona,311,270,-109,2016,Arsenal,Barcelona,0.24330900243309003,0.2702702702702703,0.5215311004784688,0.23505609521154897,0.2611028517079639,0.5038410530804871
Juventus - Bayern Munich,269,216,125,2016,Juventus,Bayern Munich,0.27100271002710025,0.31645569620253167,0.4444444444444444,0.2626242478641002,0.30667198563877535,0.4307037664971244
AS Roma - Real Madrid,319,280,-114,2016,AS Roma,Real Madrid,0.2386634844868735,0.2631578947368421,0.5327102803738317,0.23069712973280893,0.254373940415913,0.514928929851278
Gent - Wolfsburg,-,-,-,2016,Gent,Wolfsburg,,,,,,
Benfica - Zenit Petersburg,106,242,290,2016,Benfica,Zenit Petersburg,0.4854368932038835,0.29239766081871343,0.2564102564102564,0.4693636248469237,0.28271610151598325,0.24792027363709299
Paris SG - Chelsea,-156,289,504,2016,Paris SG,Chelsea,0.609375,0.2570694087403599,0.16556291390728478,0.5904754613917184,0.24909649679698093,0.16042804181130063
Real Madrid - Juventus,-152,316,437,2015,Real Madrid,Juventus,0.6031746031746031,0.2403846153846154,0.186219739292365,0.5857321113193065,0.23343321744127224,0.18083467123942132
Bayern Munich - Barcelona,154,277,168,2015,Bayern Munich,Barcelona,0.3937007874015748,0.26525198938992045,0.373134328358209,0.3814608141475312,0.25700542916040564,0.36153375669206317
Barcelona - Bayern Munich,-135,296,390,2015,Barcelona,Bayern Munich,0.574468085106383,0.25252525252525254,0.20408163265306123,0.5571545248041109,0.24491454045822308,0.197930934737666
Juventus - Real Madrid,172,217,188,2015,Juventus,Real Madrid,0.36764705882352944,0.31545741324921134,0.3472222222222222,0.35682571446438627,0.3061722218748046,0.3370020636608092
Monaco - Juventus,315,206,112,2015,Monaco,Juventus,0.24096385542168675,0.32679738562091504,0.4716981132075472,0.2318165250391292,0.3143916924550281,0.4537917825058425
Real Madrid - Atl. Madrid,100,241,315,2015,Real Madrid,Atl. Madrid,0.5,0.2932551319648094,0.24096385542168675,0.483456604547085,0.2835522607314282,0.23299113472148675
Barcelona - Paris SG,-227,411,585,2015,Barcelona,Paris SG,0.6941896024464832,0.19569471624266144,0.145985401459854,0.6701514572186081,0.18891827074017847,0.14093027204121344
Bayern Munich - FC Porto,-286,434,797,2015,Bayern Munich,FC Porto,0.7409326424870466,0.18726591760299627,0.11148272017837235,0.7126536339057288,0.18011858168173395,0.10722778441253726
FC Porto - Bayern Munich,311,225,106,2015,FC Porto,Bayern Munich,0.24330900243309003,0.3076923076923077,0.4854368932038835,0.2347549536976973,0.2968747260607803,0.46837032024152225
Paris SG - Barcelona,348,261,-114,2015,Paris SG,Barcelona,0.22321428571428573,0.2770083102493075,0.5327102803738317,0.21609757112752503,0.2681764871610283,0.5157259417114466
Atl. Madrid - Real Madrid,194,225,158,2015,Atl. Madrid,Real Madrid,0.3401360544217687,0.3076923076923077,0.3875968992248062,0.3284988952094401,0.2971651544356166,0.3743359503549434
Juventus - Monaco,-192,293,722,2015,Juventus,Monaco,0.6575342465753424,0.2544529262086514,0.12165450121654502,0.6361336458411792,0.24617131120868363,0.11769504295013707
Barcelona - Manchester City,-270,474,682,2015,Barcelona,Manchester City,0.7297297297297297,0.17421602787456447,0.1278772378516624,0.7072237514994192,0.16884293976950904,0.12393330873107185
Dortmund - Juventus,125,235,239,2015,Dortmund,Juventus,0.4444444444444444,0.29850746268656714,0.2949852507374631,0.42819976245687463,0.28759685538148294,0.2842033821616425
Atl. Madrid - Bayer Leverkusen,-133,261,430,2015,Atl. Madrid,Bayer Leverkusen,0.5708154506437768,0.2770083102493075,0.18867924528301888,0.5507127786822786,0.2672527803573427,0.18203444096037869
Monaco - Arsenal,245,259,114,2015,Monaco,Arsenal,0.2898550724637681,0.2785515320334262,0.4672897196261682,0.2798649234456907,0.2689509709993407,0.45118410555496863
Bayern Munich - Shakhtar Donetsk,-625,730,1778,2015,Bayern Munich,Shakhtar Donetsk,0.8620689655172413,0.12048192771084337,0.05324813631522897,0.8322743514225242,0.11631786116266603,0.0514077874148098
Chelsea - Paris SG,123,223,264,2015,Chelsea,Paris SG,0.4484304932735426,0.30959752321981426,0.27472527472527475,0.4342087283444066,0.2997787814885532,0.2660124901670403
FC Porto - Basel,-227,355,736,2015,FC Porto,Basel,0.6941896024464832,0.21978021978021978,0.11961722488038277,0.6716314841497438,0.21263832629807447,0.11573018955218167
Real Madrid - Schalke,-476,643,1319,2015,Real Madrid,Schalke,0.8263888888888888,0.13458950201884254,0.07047216349541931,0.8011909881294107,0.1304856558022045,0.06832335606838473
Arsenal - Monaco,-164,281,570,2015,Arsenal,Monaco,0.6212121212121212,0.26246719160104987,0.14925373134328357,0.601405991149634,0.2540989399902429,0.14449506886012317
Bayer Leverkusen - Atl. Madrid,197,214,166,2015,Bayer Leverkusen,Atl. Madrid,0.3367003367003367,0.3184713375796178,0.37593984962406013,0.3265411440903263,0.308862164951678,0.36459669095799585
Juventus - Dortmund,-106,237,345,2015,Juventus,Dortmund,0.5145631067961165,0.29673590504451036,0.2247191011235955,0.49667385189228475,0.28641961113546455,0.2169065369722507
