season,round,tie,winner,pk,agr,aet,result
2008,first,arsenal-milan,arsenal,False,False,False,arsenal (2-0) milan
2008,first,celtic-barcelona,barcelona,False,False,False,celtic (2-4) barcelona
2008,first,fenerbahce-sevilla,fenerbahce,True,False,True,"fenerbahce (5-5 aet) sevilla, fenerbahce won on penalties"
2008,first,liverpool-inter,liverpool,False,False,False,liverpool (3-0) inter
2008,first,lyon-united,united,False,False,False,lyon (1-2) united
2008,first,olympiacos-chelsea,chelsea,False,False,False,olympiacos (0-3) chelsea
2008,first,roma-madrid,roma,False,False,False,roma (4-2) madrid
2008,first,schalke-porto,schalke,True,False,True,"schalke (1-1 aet) porto, schalke won on penalties"
2008,qtr,arsenal-liverpool,liverpool,False,False,False,arsenal (3-5) liverpool
2008,qtr,fenerbahce-chelsea,chelsea,False,False,False,fenerbahce (2-3) chelsea
2008,qtr,roma-united,united,False,False,False,roma (0-3) united
2008,qtr,schalke-barcelona,barcelona,False,False,False,schalke (0-2) barcelona
2008,semi,barcelona-united,united,False,False,False,barcelona (0-1) united
2008,semi,liverpool-chelsea,chelsea,False,False,True,liverpool (3-4 aet) chelsea
2009,first,arsenal-roma,arsenal,True,False,True,"arsenal (1-1 aet) roma, arsenal won on penalties"
2009,first,atletico-porto,porto,False,True,False,"atletico (2-2) porto, porto won on away goals"
2009,first,chelsea-juventus,chelsea,False,False,False,chelsea (3-2) juventus
2009,first,inter-united,united,False,False,False,inter (0-2) united
2009,first,lyon-barcelona,barcelona,False,False,False,lyon (3-6) barcelona
2009,first,madrid-liverpool,liverpool,False,False,False,madrid (0-5) liverpool
2009,first,sporting-bayern,bayern,False,False,False,sporting (1-12) bayern
2009,first,villareal-panathinaikos,villareal,False,False,False,villareal (3-2) panathinaikos
2009,qtr,barcelona-bayern,barcelona,False,False,False,barcelona (5-1) bayern
2009,qtr,liverpool-chelsea,chelsea,False,False,False,liverpool (5-7) chelsea
2009,qtr,united-porto,united,False,False,False,united (3-2) porto
2009,qtr,villareal-arsenal,arsenal,False,False,False,villareal (1-4) arsenal
2009,semi,barcelona-chelsea,barcelona,False,True,False,"barcelona (1-1) chelsea, barcelona won on away goals"
2009,semi,united-arsenal,united,False,False,False,united (4-1) arsenal
2010,first,bayern-fiorentina,bayern,False,True,False,"bayern (4-4) fiorentina, bayern won on away goals"
2010,first,cska-sevilla,cska,False,False,False,cska (3-2) sevilla
2010,first,inter-chelsea,inter,False,False,False,inter (3-1) chelsea
2010,first,lyon-madrid,lyon,False,False,False,lyon (2-1) madrid
2010,first,milan-united,united,False,False,False,milan (2-7) united
2010,first,olympiacos-bordeaux,bordeaux,False,False,False,olympiacos (1-3) bordeaux
2010,first,porto-arsenal,arsenal,False,False,False,porto (2-6) arsenal
2010,first,stuttgart-barcelona,barcelona,False,False,False,stuttgart (1-5) barcelona
2010,qtr,arsenal-barcelona,barcelona,False,False,False,arsenal (3-6) barcelona
2010,qtr,bayern-united,bayern,False,True,False,"bayern (4-4) united, bayern won on away goals"
2010,qtr,inter-cska,inter,False,False,False,inter (2-0) cska
2010,qtr,lyon-bordeaux,lyon,False,False,False,lyon (3-2) bordeaux
2010,semi,bayern-lyon,bayern,False,False,False,bayern (4-0) lyon
2010,semi,inter-barcelona,inter,False,False,False,inter (3-2) barcelona
2011,first,arsenal-barcelona,barcelona,False,False,False,arsenal (3-4) barcelona
2011,first,copenhagen-chelsea,chelsea,False,False,False,copenhagen (0-2) chelsea
2011,first,inter-bayern,inter,False,True,False,"inter (3-3) bayern, inter won on away goals"
2011,first,lyon-madrid,madrid,False,False,False,lyon (1-4) madrid
2011,first,marseille-united,united,False,False,False,marseille (1-2) united
2011,first,milan-tottenham,tottenham,False,False,False,milan (0-1) tottenham
2011,first,roma-shakhtar,shakhtar,False,False,False,roma (2-6) shakhtar
2011,first,valencia-schalke,schalke,False,False,False,valencia (2-4) schalke
2011,qtr,barcelona-shakhtar,barcelona,False,False,False,barcelona (6-1) shakhtar
2011,qtr,chelsea-united,united,False,False,False,chelsea (1-3) united
2011,qtr,inter-schalke,schalke,False,False,False,inter (3-7) schalke
2011,qtr,madrid-tottenham,madrid,False,False,False,madrid (5-0) tottenham
2011,semi,madrid-barcelona,barcelona,False,False,False,madrid (1-3) barcelona
2011,semi,schalke-united,united,False,False,False,schalke (1-6) united
2012,first,basel-bayern,bayern,False,False,False,basel (1-7) bayern
2012,first,cska-madrid,madrid,False,False,False,cska (2-5) madrid
2012,first,leverkusen-barcelona,barcelona,False,False,False,leverkusen (2-10) barcelona
2012,first,lyon-apoel,apoel,True,False,True,"lyon (1-1 aet) apoel, apoel won on penalties"
2012,first,marseille-inter,marseille,False,True,False,"marseille (2-2) inter, marseille won on away goals"
2012,first,milan-arsenal,milan,False,False,False,milan (4-3) arsenal
2012,first,napoli-chelsea,chelsea,False,False,True,napoli (4-5 aet) chelsea
2012,first,zenit-benfica,benfica,False,False,False,zenit (3-4) benfica
2012,qtr,apoel-madrid,madrid,False,False,False,apoel (2-8) madrid
2012,qtr,benfica-chelsea,chelsea,False,False,False,benfica (1-3) chelsea
2012,qtr,marseille-bayern,bayern,False,False,False,marseille (0-4) bayern
2012,qtr,milan-barcelona,barcelona,False,False,False,milan (1-3) barcelona
2012,semi,barcelona-chelsea,barcelona,False,False,False,barcelona (3-2) chelsea
2012,semi,bayern-madrid,bayern,True,False,True,"bayern (3-3 aet) madrid, bayern won on penalties"
2013,first,arsenal-bayern,bayern,False,True,False,"arsenal (3-3) bayern, bayern won on away goals"
2013,first,celtic-juventus,juventus,False,False,False,celtic (0-5) juventus
2013,first,galatasaray-schalke,galatasaray,False,False,False,galatasaray (4-3) schalke
2013,first,madrid-united,madrid,False,False,False,madrid (3-2) united
2013,first,milan-barcelona,barcelona,False,False,False,milan (2-4) barcelona
2013,first,porto-malaga,malaga,False,False,False,porto (1-2) malaga
2013,first,shakhtar-dortmund,dortmund,False,False,False,shakhtar (2-5) dortmund
2013,first,valencia-psg,psg,False,False,False,valencia (2-3) psg
2013,qtr,bayern-juventus,bayern,False,False,False,bayern (4-0) juventus
2013,qtr,madrid-galatasaray,madrid,False,False,False,madrid (5-3) galatasaray
2013,qtr,malaga-dortmund,dortmund,False,False,False,malaga (2-3) dortmund
2013,qtr,psg-barcelona,barcelona,False,True,False,"psg (3-3) barcelona, barcelona won on away goals"
2013,semi,bayern-barcelona,bayern,False,False,False,bayern (7-0) barcelona
2013,semi,dortmund-madrid,dortmund,False,False,False,dortmund (4-3) madrid
2014,first,arsenal-bayern,arsenal,False,False,False,arsenal (3-1) bayern
2014,first,city-barcelona,barcelona,False,False,False,city (0-5) barcelona
2014,first,galatasaray-chelsea,chelsea,False,False,False,galatasaray (1-3) chelsea
2014,first,leverkusen-psg,psg,False,False,False,leverkusen (1-6) psg
2014,first,milan-atletico,atletico,False,False,False,milan (1-5) atletico
2014,first,olympiacos-united,united,False,False,False,olympiacos (2-3) united
2014,first,schalke-madrid,madrid,False,False,False,schalke (2-9) madrid
2014,first,zenit-dortmund,dortmund,False,False,False,zenit (4-5) dortmund
2014,qtr,barcelona-atletico,atletico,False,False,False,barcelona (1-2) atletico
2014,qtr,madrid-dortmund,madrid,False,False,False,madrid (3-2) dortmund
2014,qtr,psg-chelsea,chelsea,False,True,False,"psg (3-3) chelsea, chelsea won on away goals"
2014,qtr,united-bayern,united,False,True,False,"united (3-3) bayern, united won on away goals"
2014,semi,atletico-chelsea,atletico,False,False,False,atletico (3-1) chelsea
2014,semi,madrid-bayern,madrid,False,False,False,madrid (5-0) bayern
2015,first,arsenal-monaco,monaco,False,True,False,"arsenal (3-3) monaco, monaco won on away goals"
2015,first,basel-porto,porto,False,False,False,basel (1-5) porto
2015,first,city-barcelona,barcelona,False,True,False,"city (2-2) barcelona, barcelona won on away goals"
2015,first,juventus-dortmund,juventus,False,False,False,juventus (4-2) dortmund
2015,first,leverkusen-atletico,atletico,True,False,True,"leverkusen (1-1 aet) atletico, atletico won on penalties"
2015,first,psg-chelsea,chelsea,False,True,True,"psg (3-3 aet) chelsea, chelsea won on away goals"
2015,first,schalke-madrid,madrid,False,False,False,schalke (4-5) madrid
2015,first,shakhtar-bayern,bayern,False,False,False,shakhtar (0-7) bayern
2015,qtr,atletico-madrid,madrid,False,False,False,atletico (0-1) madrid
2015,qtr,juventus-monaco,juventus,False,False,False,juventus (1-0) monaco
2015,qtr,porto-bayern,bayern,False,False,False,porto (4-7) bayern
2015,qtr,psg-barcelona,barcelona,False,False,False,psg (1-5) barcelona
2015,semi,barcelona-bayern,barcelona,False,False,False,barcelona (5-3) bayern
2015,semi,juventus-madrid,juventus,False,False,False,juventus (3-2) madrid
2016,first,arsenal-barcelona,barcelona,False,False,False,arsenal (1-5) barcelona
2016,first,benfica-zenit,benfica,False,False,False,benfica (3-1) zenit
2016,first,gent-wolfsburg,wolfsburg,False,False,False,gent (2-4) wolfsburg
2016,first,juventus-bayern,bayern,False,False,True,juventus (4-6 aet) bayern
2016,first,kyiv-city,city,False,False,False,kyiv (1-3) city
2016,first,psg-chelsea,psg,False,False,False,psg (5-1) chelsea
2016,first,psv-atletico,psv,True,False,True,"psv (0-0 aet) atletico, psv won on penalties"
2016,first,roma-madrid,madrid,False,False,False,roma (0-4) madrid
2016,qtr,barcelona-atletico,atletico,False,False,False,barcelona (2-3) atletico
2016,qtr,bayern-benfica,bayern,False,False,False,bayern (3-2) benfica
2016,qtr,psg-city,city,False,False,False,psg (2-3) city
2016,qtr,wolfsburg-madrid,madrid,False,False,False,wolfsburg (2-3) madrid
2016,semi,atletico-bayern,atletico,False,True,False,"atletico (2-2) bayern, atletico won on away goals"
2016,semi,city-madrid,madrid,False,False,False,city (0-1) madrid
2017,first,bayern-arsenal,bayern,False,False,False,bayern (10-2) arsenal
2017,first,benfica-dortmund,dortmund,False,False,False,benfica (1-4) dortmund
2017,first,city-monaco,monaco,False,True,False,"city (6-6) monaco, monaco won on away goals"
2017,first,leverkusen-atletico,atletico,False,True,False,"leverkusen (3-3) atletico, atletico won on away goals"
2017,first,madrid-napoli,madrid,False,False,False,madrid (6-2) napoli
2017,first,porto-juventus,juventus,False,False,False,porto (0-3) juventus
2017,first,psg-barcelona,barcelona,False,False,False,psg (5-6) barcelona
2017,first,sevilla-leicester,leicester,False,False,False,sevilla (2-3) leicester
2017,qtr,atletico-leicester,atletico,False,False,False,atletico (2-1) leicester
2017,qtr,bayern-madrid,madrid,False,False,True,bayern (3-6 aet) madrid
2017,qtr,dortmund-monaco,monaco,False,False,False,dortmund (3-6) monaco
2017,qtr,juventus-barcelona,juventus,False,False,False,juventus (3-0) barcelona
2017,semi,madrid-atletico,madrid,False,False,False,madrid (4-2) atletico
2017,semi,monaco-juventus,juventus,False,False,False,monaco (1-4) juventus
2018,first,basel-city,city,False,False,False,basel (2-5) city
2018,first,bayern-besiktas,bayern,False,False,False,bayern (8-1) besiktas
2018,first,chelsea-barcelona,barcelona,False,False,False,chelsea (1-4) barcelona
2018,first,juventus-tottenham,juventus,False,False,False,juventus (4-3) tottenham
2018,first,madrid-psg,madrid,False,False,False,madrid (5-2) psg
2018,first,porto-liverpool,liverpool,False,False,False,porto (0-5) liverpool
2018,first,sevilla-united,sevilla,False,False,False,sevilla (2-1) united
2018,first,shakhtar-roma,shakhtar,False,False,False,shakhtar (3-1) roma
2018,qtr,barcelona-roma,roma,False,True,False,"barcelona (4-4) roma, roma won on away goals"
2018,qtr,juventus-madrid,madrid,False,False,False,juventus (3-4) madrid
2018,qtr,liverpool-city,liverpool,False,False,False,liverpool (5-1) city
2018,qtr,sevilla-bayern,bayern,False,False,False,sevilla (1-2) bayern
2018,semi,bayern-madrid,madrid,False,False,False,bayern (3-4) madrid
2018,semi,liverpool-roma,liverpool,False,False,False,liverpool (7-6) roma
2019,first,ajax-madrid,ajax,False,False,False,ajax (5-3) madrid
2019,first,atletico-juventus,juventus,False,False,False,atletico (2-3) juventus
2019,first,liverpool-bayern,liverpool,False,False,False,liverpool (3-1) bayern
2019,first,lyon-barcelona,barcelona,False,False,False,lyon (1-5) barcelona
2019,first,roma-porto,porto,False,False,True,roma (3-4 aet) porto
2019,first,schalke-city,city,False,False,False,schalke (2-10) city
2019,first,tottenham-dortmund,tottenham,False,False,False,tottenham (4-0) dortmund
2019,first,united-psg,united,False,True,False,"united (3-3) psg, united won on away goals"
